index,time,longitude,latitude,magnitude,time_days,x,y
2310,2008-01-18 03:45:23.348,-116.20917,33.3396,1.29,13896.156520231481,-15.791042472667545,27.176225550788942
2311,2008-01-18 03:45:43.298,-116.20857,33.33978,1.53,13896.156751134258,-15.770870439516946,27.231906228129116
2369,2008-01-18 09:25:27.952,-116.85824,33.88592,1.15,13896.392684629629,44.97543076486768,-32.91028687346157
2466,2008-01-19 02:22:50.469,-116.21556,33.3496,1.42,13897.099195243054,-14.68074591728173,26.579569802111635
2519,2008-01-19 13:53:09.409,-116.3873,33.35256,1.05,13897.578581122685,-14.382336176608899,10.627214621429141
2536,2008-01-19 18:54:43.875,-116.48168,33.46834,1.19,13897.7880078125,-1.5138554702731213,1.8585730292127325
2545,2008-01-19 20:27:04.540,-116.75388,33.66524,1.04,13897.85213587963,20.408622505879265,-23.336831727267004
2588,2008-01-20 04:33:44.474,-116.37305,33.37741,1.11,13898.190098078703,-11.617595582536316,11.947359964077727
2624,2008-01-20 09:29:58.877,-116.45354,33.50565,1.16,13898.395820335647,2.63568422209462,4.466851962905665
2627,2008-01-20 09:36:24.297,-116.45391,33.50584,1.18,13898.400281215278,2.6567954011574253,4.43253664158407
2677,2008-01-20 16:28:41.294,-116.87069,33.47411,1.42,13898.686589050927,-0.811652865761827,-34.22277702555149
2693,2008-01-20 20:37:37.339,-116.0219,33.92312,1.12,13898.85945994213,49.1578584488538,44.27207723420776
2702,2008-01-20 22:14:38.105,-116.02375,33.6869,2.61,13898.926829918983,22.890672120931367,44.222950293376776
2744,2008-01-21 03:23:47.604,-116.72972,33.64896,1.14,13899.141523194445,18.593193149249906,-21.10489708668028
2745,2008-01-21 03:24:19.303,-116.31463,33.00832,1.22,13899.141890081019,-52.65027741684949,17.445498257995904
2795,2008-01-21 12:34:59.583,-116.56871,33.17208,1.05,13899.524300729168,-34.45463814556187,-6.235324481257146
2874,2008-01-22 06:17:44.310,-116.83401,33.72067,1.16,13900.26231840278,26.593049162972388,-30.732771491684293
2885,2008-01-22 08:29:44.806,-116.83281,33.72069,1.83,13900.353990810188,26.594917860481008,-30.62178044375645
2886,2008-01-22 08:30:42.457,-116.83166,33.71961,1.08,13900.35465806713,26.474488296557052,-30.515803977672494
2970,2008-01-22 21:54:08.886,-116.37305,33.37765,1.85,13900.912602847224,-11.590908805023105,11.947326963348527
2976,2008-01-22 22:47:38.334,-116.83554,33.7216,1.0,13900.949749236112,26.696915054595856,-30.873942207935166
2994,2008-01-23 04:17:07.098,-116.66125,33.61694,1.35,13901.178554374997,15.020890664797895,-14.77252583818771
3061,2008-01-23 11:44:42.935,-116.37252,33.37794,1.15,13901.489385821762,-11.558601244156424,11.996499912538821
3105,2008-01-23 22:45:22.275,-116.18166,33.84401,1.21,13901.948174479168,40.30425354636569,29.55858841340734
3137,2008-01-24 03:00:42.407,-116.47941,33.49003,1.99,13902.12549082176,0.8980053935079486,2.068615177665792
3165,2008-01-24 06:22:20.081,-116.47921,33.48977,1.24,13902.265510196758,0.8690987149789963,2.0871683548196565
3229,2008-01-24 15:07:07.092,-116.61074,33.41719,1.03,13902.629943194444,-7.196347281307824,-10.118709559014253
3249,2008-01-24 18:39:23.245,-116.72014,33.63073,1.1,13902.777352372685,16.564202079712707,-20.222409756669617
3255,2008-01-24 18:52:42.330,-116.45401,33.50629,1.06,13902.786601041666,2.7068288529523157,4.4232418868333
3283,2008-01-25 00:13:57.502,-116.78957661696643,33.69162621944116,1.1,13903.009693310187,23.35123609130286,-26.632262500455838
3288,2008-01-25 01:19:00.322,-116.78916007521593,33.69069764262587,1.14,13903.05486483796,23.2478762240732,-26.59401173569603
3327,2008-01-25 08:16:24.342,-116.35916,33.93857,1.48,13903.344726180558,50.78221763602932,13.151201369776608
3399,2008-01-25 20:31:33.087,-116.83899,33.39294,1.26,13903.8552440625,-9.847330084577171,-31.311853983853613
3491,2008-01-26 17:46:35.482,-116.11142,33.25246,1.22,13904.740688449072,-25.450738594403077,36.2929975531565
3496,2008-01-26 19:26:16.463,-116.83682,33.38968,1.16,13904.809912766204,-10.210476716901713,-31.111563400535545
3516,2008-01-27 00:56:57.923,-116.37294,33.37787,1.55,13905.039559293982,-11.566433278342654,11.957510703771677
3518,2008-01-27 01:02:33.640,-116.938662926009,33.408115035690784,1.77,13905.04344490741,-8.125483048270496,-40.558178114324384
3543,2008-01-27 04:34:24.007,-116.37333,33.37747,1.13,13905.190555636575,-11.61095603380763,11.921352345110753
3600,2008-01-27 17:41:18.041,-116.7223,33.97711,1.28,13905.737014363425,55.080302313997265,-20.340123512786025
3601,2008-01-27 17:44:37.130,-116.9386282530157,33.408263600484574,1.43,13905.739318634258,-8.108976962468688,-40.554890313983684
3649,2008-01-28 13:14:55.296,-116.71448,33.69678,1.52,13906.55202888889,23.907533999625507,-19.68329322761348
3677,2008-01-28 20:54:11.826,-116.68556,33.63607,1.0,13906.870970208332,17.15177447662883,-17.019817449546892
3789,2008-01-29 16:36:26.089,-116.87128,33.47392,1.23,13907.691968622685,-0.8325853131253746,-34.27757528843155
3790,2008-01-29 16:38:37.073,-116.87109,33.47387,2.85,13907.693484641202,-0.8382077389760272,-34.25997232859127
3860,2008-01-30 11:55:17.827,-116.24713,33.30185,1.38,13908.496734108798,-19.99792487454606,23.660188113088182
3863,2008-01-30 12:22:06.905,-116.34498,33.35956,2.32,13908.515357696759,-13.598846512110237,14.556787467436571
3899,2008-01-30 21:41:50.810,-116.07975,33.77201,1.01,13908.904060300925,32.331964362855324,39.00307182708131
3915,2008-01-31 02:50:33.129,-116.48684,33.48506,1.01,13909.118438993055,0.3452432590994648,1.3796766469171644
3926,2008-01-31 04:43:06.273,-116.898,33.83924,1.25,13909.196600381945,39.79821001328259,-36.600412578849
3930,2008-01-31 04:54:32.676,-116.6499,33.8925,1.46,13909.204544861112,45.660198105800305,-13.677606190442702
3954,2008-01-31 10:44:44.616,-116.02507,33.68754,2.78,13909.44773861111,22.9612743911316,44.100492945595654
3976,2008-01-31 17:04:19.058,-116.13674,33.7866,1.22,13909.711331689814,33.93428792681083,33.729687300134884
3981,2008-01-31 19:36:53.149,-116.81162,33.93294,1.11,13909.81728181713,50.189954233487974,-28.591137968691413
4006,2008-02-01 04:00:48.973,-116.82366,33.97405,1.15,13910.167233483797,54.76456437452689,-29.687636719830934
4086,2008-02-01 17:46:31.702,-116.98713,33.99217,1.05,13910.740644699075,56.83825557107152,-44.75225176560291
4100,2008-02-01 22:54:32.517,-116.49505,33.50835,1.04,13910.954543020833,2.934894127401535,0.618116009418366
4116,2008-02-02 03:34:45.525,-116.93336373419092,33.83923766728568,1.68,13911.149138020832,39.811010155817755,-39.86656320428836
4143,2008-02-02 07:44:02.147,-116.31864,33.26014,1.17,13911.322247071761,-24.64984439975481,17.02251627016588
4180,2008-02-02 16:49:10.027,-116.37241,33.37905,1.2,13911.700810497685,-11.435162198129865,12.006560504372361
4184,2008-02-02 18:02:30.277,-116.71126,33.64707,1.06,13911.75173931713,18.379430164077956,-19.396592280179828
4213,2008-02-03 03:37:52.862,-116.58625,33.45957,1.48,13912.15130627315,-2.4860234861688957,-7.841899815025784
4226,2008-02-03 05:04:17.132,-116.72994,33.66805,1.0,13912.211309398148,20.715947840274392,-21.120582093780435
4253,2008-02-03 08:48:14.466,-116.20048,33.87491,1.0,13912.36683409722,43.73495777021124,27.810455772849817
4442,2008-02-05 05:52:11.798,-116.55895033358009,33.49203003656525,1.13,13914.244580995372,1.1216396621127187,-5.307399092851373
4476,2008-02-05 08:48:39.237,-116.37249,33.37852,1.2,13914.367120798612,-11.494104735946726,11.999205444117957
4525,2008-02-05 17:47:14.528,-116.45827,33.50819,1.14,13914.741140370372,2.917925842027317,4.028178499444925
4530,2008-02-05 18:50:13.298,-116.85438,33.88824,1.25,13914.784876134258,45.232181764478085,-32.5530934007385
4554,2008-02-05 22:42:12.366,-116.32985,33.34628,1.68,13914.945976458335,-15.073294074703393,15.964408893834532
4557,2008-02-05 22:53:25.237,-116.37365,33.38063,1.2,13914.95376431713,-11.25961677988602,11.891206284084005
4594,2008-02-06 03:33:21.555,-116.37245,33.37858,1.36,13915.148166145835,-11.487428423541123,12.002911305843716
4609,2008-02-06 06:37:43.227,-116.37252,33.37861,1.79,13915.276194756945,-11.484100656685115,11.99640740443029
4618,2008-02-06 07:31:33.796,-116.98423,33.99522,1.28,13915.313585601853,57.17614768529632,-44.483300874159255
4624,2008-02-06 08:07:48.566,-116.62463,33.43966,1.19,13915.33875655093,-4.696359025985022,-11.404920168238212
4643,2008-02-06 09:30:24.770,-116.71593,33.64182,1.4,13915.396120023148,17.796540275578792,-19.83008285829059
4644,2008-02-06 09:30:41.988,-116.71631,33.64226,1.2,13915.396319305555,17.84553873964746,-19.86515869027103
4665,2008-02-06 09:55:45.008,-116.27989,33.50052,1.26,13915.413715370369,2.0861874198893924,20.568505253448524
4728,2008-02-06 18:58:26.592,-116.45457,33.45841,1.22,13915.790585555556,-2.6172078197920223,4.373737175382821
4732,2008-02-06 19:29:47.910,-116.04617,33.20121,1.08,13915.812360069445,-31.124808264076837,42.385325127923544
4737,2008-02-06 22:10:42.015,-116.48045,33.47044,1.06,13915.924097395835,-1.2803234419490048,1.9726172829195558
4744,2008-02-07 01:13:38.742,-116.85222,33.95432,2.04,13916.051142847224,52.57925453752525,-32.32872302019435
4751,2008-02-07 02:59:21.143,-116.45007,33.45558,1.43,13916.124550266206,-2.931690942579364,4.791351345734071
4766,2008-02-07 04:40:24.233,-116.8376,33.3917,1.12,13916.194724918982,-9.985629502198313,-31.183254463833155
4814,2008-02-07 13:07:18.279,-116.45348,33.51708,1.36,13916.546739340278,3.9066447830323425,4.471824428886013
4832,2008-02-07 15:56:14.664,-116.34642,33.31075,1.96,13916.664058611112,-19.02647015599275,14.431143487133516
4840,2008-02-07 17:00:10.858,-116.55382845905321,33.49592722161854,1.42,13916.708459004627,1.5547368046290349,-4.832217912442574
4859,2008-02-07 22:52:21.344,-116.51864,33.47252,1.61,13916.953024814817,-1.0491120635177553,-1.5696784941477613
4916,2008-02-08 09:54:31.680,-116.47378,33.14376,1.29,13917.412866666667,-37.60533523529055,2.601037692248977
4956,2008-02-08 15:40:24.322,-116.76366,33.71563,1.65,13917.653059282406,26.013974278680717,-24.227751541083652
4986,2008-02-08 23:24:02.618,-116.47404,33.48556,1.12,13917.975030300924,0.40108391677053484,2.566732172840151
5290,2008-02-10 10:52:04.580,-116.81128,33.93214,1.32,13919.452830787037,50.10090447368584,-28.56003748888907
5327,2008-02-10 21:43:24.597,-116.45337,33.506,1.1,13919.90514579861,2.674609771151339,4.482595866269251
5339,2008-02-10 23:34:54.141,-116.53941,33.4482,1.13,13919.982571076389,-3.7528661334268754,-3.4971455047710167
5512,2008-02-11 18:53:01.947,-116.34415,33.35942,2.0,13920.786828090279,-13.614297281667561,14.633896447115152
5702,2008-02-12 07:19:40.254,-116.60409,33.41909,1.19,13921.305327013892,-6.9857047263528536,-9.501298751050824
5770,2008-02-12 11:13:50.193,-116.17859,33.808,1.08,13921.46794204861,36.301009816434174,29.854648058886145
5790,2008-02-12 12:47:17.377,-116.45501,33.47279,1.53,13921.532840011572,-1.0182432518336904,4.332200197416153
5812,2008-02-12 14:45:28.110,-116.72028,33.95127,1.05,13921.614908680556,52.20663152010508,-20.159956159884345
5818,2008-02-12 15:33:39.314,-116.97258,33.9849,1.53,13921.648371689813,56.023667205423294,-43.41453406675799
5834,2008-02-12 18:40:05.048,-116.88657819062281,33.9736063091429,1.4,13921.777836203704,54.735056320662416,-35.48972869738283
5911,2008-02-13 05:31:46.055,-116.37359,33.25354,1.5,13922.230394155093,-25.391370643995238,11.914160800405005
5940,2008-02-13 07:37:17.873,-116.76882,33.82201,1.91,13922.317567974536,37.844098936170894,-24.674435976995102
5944,2008-02-13 08:37:14.658,-116.79954,33.94568,1.36,13922.359197430553,51.60330247511497,-27.472565871765553
6000,2008-02-13 13:37:37.533,-116.80406,33.70256,1.22,13922.567795520834,24.570830187088994,-27.96868234921678
6021,2008-02-13 15:20:43.626,-116.80346,33.70256,1.14,13922.639393819443,24.570668455262286,-27.913178655656466
6026,2008-02-13 16:19:26.660,-116.71666,33.70539,1.06,13922.680169675927,24.865337872508455,-19.882981579271835
6054,2008-02-13 22:35:00.337,-116.09824,33.73822,1.3,13922.940976122683,28.56788580076435,37.30868714539246
6082,2008-02-14 03:11:31.252,-116.37046,33.41822,1.02,13923.133000601852,-7.079430814298007,12.18212777400724
6093,2008-02-14 04:43:19.486,-116.37255,33.37487,1.06,13923.196753310185,-11.899973068868738,11.994138048445423
6094,2008-02-14 04:56:51.646,-116.43025,33.46588,1.05,13923.206153310186,-1.7852936960831185,6.629292924043204
6138,2008-02-14 09:44:39.460,-116.716,33.66628,1.14,13923.406012268519,20.516380154402448,-19.83093423914025
6202,2008-02-14 21:36:06.767,-116.7521,33.71626,1.04,13923.900078321758,26.08138442011585,-23.158371931210826
6368,2008-02-16 04:43:54.798,-116.71151,33.64723,1.75,13925.19716201389,18.397268129472046,-19.41969773043057
6389,2008-02-16 06:32:09.065,-116.7272,33.68077,1.14,13925.272327141201,22.129791721089312,-20.863931994010013
6453,2008-02-16 16:35:05.200,-116.02265,33.68626,2.92,13925.691032407409,22.819977324057533,44.32505436922487
6454,2008-02-16 16:35:55.796,-116.02232,33.68611,1.09,13925.69161800926,22.803439270645438,44.355664250777345
6465,2008-02-16 20:17:28.215,-116.5749,33.49182,1.07,13925.84546545139,1.0992133831817505,-6.786466256984492
6534,2008-02-17 08:20:20.748,-116.04489,33.09713,1.39,13926.34746236111,-42.69742905729972,42.55502669270421
6611,2008-02-17 15:13:04.464,-116.57531,33.49326,1.0,13926.634079444444,1.2593609361472744,-6.824373145171359
6686,2008-02-18 07:06:07.815,-116.77072,33.84208,1.39,13927.295923784723,40.076233600311184,-24.84413774485877
6697,2008-02-18 09:00:06.627,-116.72426,33.68951,1.01,13927.37507670139,23.101047042273994,-20.58980465639481
6759,2008-02-18 15:30:38.795,-116.75051,33.70687,1.14,13927.646282349539,25.036910652907466,-23.013821669981958
6779,2008-02-18 20:52:05.001,-116.07489,33.27344,1.56,13927.869502326388,-23.10453773280557,39.68028744857834
6785,2008-02-18 22:46:42.129,-116.82086,33.71164,1.7,13927.949098715277,25.585137878405323,-29.519670553621495
6786,2008-02-18 22:46:53.897,-116.82074,33.7115,1.06,13927.94923491898,25.569536436382236,-29.508619003232127
6808,2008-02-19 02:29:27.797,-116.81484,33.94838,1.41,13928.103793946759,51.90769649575889,-28.882990847945667
6810,2008-02-19 02:31:52.020,-116.4552,33.4743,1.31,13928.105463194444,-0.8503468252305998,4.314501935965244
6811,2008-02-19 02:31:54.290,-116.47023,33.48129,1.18,13928.105489467593,-0.07361777090320172,2.9202129824818845
6869,2008-02-19 07:36:57.320,-116.34684,33.35973,1.14,13928.317330092592,-13.580202252252679,14.384013711061083
6872,2008-02-19 07:57:39.517,-116.70229,33.66649,1.48,13928.331707372685,20.537192885220943,-18.56209231396142
7019,2008-02-19 18:55:15.274,-116.54021,33.49075,1.51,13928.78837122685,0.9785051336772401,-3.569615756507671
7222,2008-02-20 18:18:28.941,-116.93817,33.96992,1.26,13929.762834965277,54.34405112398078,-40.248943213201684
7228,2008-02-20 19:23:49.082,-116.53205,33.45957,1.0,13929.80820696759,-2.488803396874893,-2.8139206316407885
7291,2008-02-21 08:57:33.710,-116.103,33.3133,1.06,13930.373306828704,-18.682682671948754,37.050073597648215
7297,2008-02-21 09:13:42.773,-116.59745,33.57289,1.1,13930.384522835648,10.115485832001669,-8.869269735603758
7400,2008-02-22 04:08:57.378,-116.37224,33.37785,1.06,13931.172886319442,-11.568576437896281,12.022511594108774
7427,2008-02-22 07:49:41.343,-116.71079,33.64504,1.01,13931.32617295139,18.153616767855947,-19.353541986423995
7466,2008-02-22 10:17:20.117,-116.95609,33.9834,1.26,13931.42870505787,55.850072791607296,-41.89486892349277
7502,2008-02-22 15:30:34.826,-116.80224,33.70077,1.28,13931.646236412036,24.371301877395215,-27.800899307952815
7503,2008-02-22 16:03:15.260,-116.02056,33.68381,1.42,13931.66892662037,22.548446011320085,44.5196942166207
7549,2008-02-23 00:58:26.558,-116.72488324546886,33.50842076376871,1.15,13932.040585162038,2.964977919980457,-20.69082463081425
7577,2008-02-23 07:18:55.342,-116.3754,33.37537,1.18,13932.304807199076,-11.844700812564753,11.729426198333163
7631,2008-02-23 14:45:57.284,-116.71478,33.90655,1.54,13932.615246342591,47.232938526800616,-19.662926185803396
7686,2008-02-23 23:47:34.797,-116.58646,33.45929,1.09,13932.991374965277,-2.517142190583111,-7.861406306961859
7833,2008-02-25 00:55:35.670,-116.10331,33.23451,1.14,13934.038607291668,-27.443826448495827,37.05475265553449
7857,2008-02-25 06:26:16.609,-116.58557,33.4589,1.07,13934.268247789352,-2.560575208968421,-7.778878294843312
7860,2008-02-25 06:57:27.514,-116.65799,33.9838,1.41,13934.289901782407,55.81339043831358,-14.408930796392337
7873,2008-02-25 08:39:47.654,-116.84782,33.93549,1.23,13934.360968217594,50.48409033866173,-31.929924101747883
7952,2008-02-25 18:17:27.565,-116.07501,33.27341,1.14,13934.762124594905,-23.107919331484858,39.669145273655246
7954,2008-02-25 18:25:11.623,-116.97737,33.986,1.13,13934.767495636575,56.14800270745012,-43.855613484088714
7986,2008-02-25 22:25:15.317,-116.07508,33.27299,1.07,13934.934205057869,-23.154647795579162,39.662828845889855
7990,2008-02-25 22:39:03.778,-116.38549,33.34761,2.07,13934.94379372685,-14.932564522906436,10.795944706930893
7993,2008-02-25 22:59:01.437,-116.38671,33.34805,3.02,13934.957655520833,-14.8837647655202,10.682568754170662
8007,2008-02-26 00:20:21.947,-116.3875,33.34919,1.17,13935.014142905093,-14.757083450381,10.609049469918006
8015,2008-02-26 01:29:03.976,-116.80808,33.9003,1.4,13935.061851574075,46.55958301935224,-28.275332550509894
8026,2008-02-26 01:55:27.593,-116.21716,33.26239,1.03,13935.080180474537,-24.37845488587711,26.457441902285204
8027,2008-02-26 01:55:29.523,-116.21686,33.26309,1.33,13935.0802028125,-24.30054218793529,26.485122480557692
8123,2008-02-26 09:19:55.707,-116.47966,33.43109,1.04,13935.388839201389,-5.655828499649612,2.046822886536105
8150,2008-02-26 10:32:09.563,-116.72081321124867,33.21314560913366,1.54,13935.43899957176,-29.8689077927146,-20.382589219314664
8167,2008-02-26 11:52:14.902,-116.55587,33.49138,1.19,13935.494616921298,1.0492057060117115,-5.021790073826895
8185,2008-02-26 15:13:38.152,-116.58669,33.45955,1.19,13935.634469351851,-2.4882140822355328,-7.882719170961687
8327,2008-02-27 03:22:03.709,-116.79357,33.6891,1.0,13936.140320706018,23.07136660740985,-27.002514328103615
8461,2008-02-27 13:04:07.130,-116.57622,33.49486,1.49,13936.544526967591,1.4373329786741413,-6.908630765444645
8490,2008-02-27 17:23:46.370,-116.74074,33.97895,1.02,13936.724842245369,55.28867957545954,-22.04001060708148
8495,2008-02-27 17:57:53.186,-116.5754,33.49531,1.0,13936.748532245369,1.4873164400233128,-6.832557184853986
8521,2008-02-27 23:20:09.266,-116.42796,33.17467,1.38,13936.97232946759,-34.166217894216956,6.864644874100112
8629,2008-02-28 13:01:03.364,-116.47727,33.48087,1.29,13937.542400046297,-0.12049545608648671,2.2673068791059925
8635,2008-02-28 13:26:37.961,-116.36934,33.18864,2.16,13937.560161585649,-32.607425408377274,12.318512305411906
8659,2008-02-28 16:58:09.337,-116.72457,33.93082,1.71,13937.707052511572,49.933540981956874,-20.560577786620588
8660,2008-02-28 16:58:16.816,-116.72457,33.93084,1.07,13937.707139074075,49.93576487924077,-20.560572977027647
8725,2008-02-29 05:46:34.301,-116.51306,33.47687,1.05,13938.24067478009,-0.565484557159762,-1.052062273014603
8828,2008-03-01 00:47:24.540,-116.35759,33.0146,1.2,13939.032922916665,-51.958334498004824,13.438600501546746
8861,2008-03-01 05:57:58.327,-116.50642,33.50152,1.39,13939.248591747686,2.175422809206158,-0.4360871609581553
8957,2008-03-02 02:26:08.619,-116.91569,33.967,1.07,13940.101488645832,54.01083860836168,-38.17719380791148
8981,2008-03-02 06:43:25.675,-116.78057,33.68891,1.05,13940.280158275462,23.046928905377037,-25.799802636327644
